"exam_year","varname_longi","non_missing_per","Variable.Name","Variable.Label","Num.non.missing.participants","categorical_or_continuous","Datadoc","var_group"
0,"BMI",0.996286161063331,"A20BMI","BODY MASS INDEX, KG/M**2",5097,1,"a4f20","anthropometry"
2,"BMI",0.897360703812317,"B20BMI","",4590,1,"b2f20","anthropometry"
5,"BMI",0.844292682926829,"C20BMI","BODY MASS INDEX (KG/M**2)",4327,1,"c1f20","anthropometry"
7,"BMI",0.779276637341153,"D20BMI","BODY MASS INDEX (KG/M**2)",3986,1,"d1f20a","anthropometry"
10,"BMI",0.759530791788856,"E20BMI","BODY MASS INDEX (KG/M**2)",3885,1,"e1f20","anthropometry"
15,"BMI",0.709286412512219,"F20BMI","BODY MASS INDEX (KG/M**2)",3628,1,"f2f20","anthropometry"
20,"BMI",0.689931573802542,"G20BMI","BODY MASS INDEX (KG/M**2)",3529,1,"g3f20","anthropometry"
25,"BMI",0.682306940371456,"H20BMI","BODY MASS INDEX (KG/M**2)",3490,1,"h3f20","anthropometry"
0,"HGT",0.997068021892103,"A20HGT","PT'S HGT, CM",5101,1,"a4f20","anthropometry"
2,"HGT",0.899511241446725,"B20HGT","SUBJECT'S HEIGHT STANDING IN CM",4601,1,"b2f20","anthropometry"
5,"HGT",0.844292682926829,"C20HGT","SUBJECT'S HEIGHT STANDING (CM)",4327,1,"c1f20","anthropometry"
7,"HGT",0.779863147605083,"D20HGT","SUBJECT'S HEIGHT STANDING (CM)",3989,1,"d1f20a","anthropometry"
10,"HGT",0.760508308895406,"E20HGT","SUBJECT'S HEIGHT STANDING (CM)",3890,1,"e1f20","anthropometry"
15,"HGT",0.709677419354839,"F20HGT","SUBJECT'S HEIGHT STANDING (CM)",3630,1,"f2f20","anthropometry"
20,"HGT",0.691300097751711,"G20HGT","SUBJECT'S HEIGHT STANDING (CM)",3536,1,"g3f20","anthropometry"
25,"HGT",0.682697947214076,"H20HGT","SUBJECT'S HEIGHT STANDING (CM)",3492,1,"h3f20","anthropometry"
0,"HIP",0.995895230648944,"A20HIP","MEAN HIP GIRTH, CM",5095,1,"a4f20","anthropometry"
2,"HIP",0.898142717497556,"B20HIP","MEAN( B20HIPS1, B20HIPS2 )",4594,1,"b2f20","anthropometry"
7,"HIP",0.776148582600195,"D20HIP","MEAN (D20HIPS1, D20HIPS2) (CM)",3970,1,"d1f20a","anthropometry"
10,"HIP",0.758553274682307,"E20HIP","MEAN (E20HIPS1, E20HIPS2) (CM)",3880,1,"e1f20","anthropometry"
25,"HIP",0.682502443792766,"H20HIP","MEAN OF H20HIP1 AND H20HIP2",3491,1,"h3f20","anthropometry"
0,"WGT",0.996481626270524,"A20WGT","PT'S WGT, LBS.",5098,1,"a4f20","anthropometry"
2,"WGT",0.897360703812317,"B20WGT","SUBJECT'S WEIGHT IN POUNDS",4590,1,"b2f20","anthropometry"
5,"WGT",0.844292682926829,"C20WGT","SUBJECT'S WEIGHT (LBS)",4327,1,"c1f20","anthropometry"
7,"WGT",0.781818181818182,"D20WGT","SUBJECT'S WEIGHT (LBS)",3999,1,"d1f20a","anthropometry"
10,"WGT",0.764418377321603,"E20WGT","SUBJECT'S WEIGHT (LBS)",3910,1,"e1f20","anthropometry"
15,"WGT",0.712023460410557,"F20WGT","SUBJECT'S WEIGHT (LBS)",3642,1,"f2f20","anthropometry"
20,"WGT",0.691300097751711,"G20WGT","SUBJECT'S WEIGHT (LBS)",3536,1,"g3f20","anthropometry"
25,"WGT",0.682502443792766,"H20WGT","SUBJECT'S WEIGHT (LBS)",3491,1,"h3f20","anthropometry"
0,"ARMCI",0.962666145426114,"A02ARMCI","ARM CIRCUMFERENCE IN CM",4925,1,"a4f02","blood_pressure"
2,"ARMCI",0.903421309872923,"B02ARMCI","ARM CIRCUMFERENCE IN CM",4621,1,"b2f02","blood_pressure"
5,"ARMCI",0.848780487804878,"C02ARMCI","ARM CIRCUMFERENCE IN CM",4350,1,"c1f02","blood_pressure"
7,"ARMCI",0.798631476050831,"D02ARMCI","ARM CIRCUMFERENCE IN CM",4085,1,"d1f02","blood_pressure"
10,"ARMCI",0.770869990224829,"E02ARMCI","ARM CIRCUMFERENCE (CM)",3943,1,"e1f02","blood_pressure"
15,"ARMCI",0.715151515151515,"F02ARMCI","ARM CIRCUMFERENCE (CM)",3658,1,"f1f02","blood_pressure"
20,"ARMCI",0.693255131964809,"G02ARMCI","ARM CIRCUMFERENCE (CM)",3546,1,"g3f02","blood_pressure"
25,"ARMCI",0.682697947214076,"H02ARMCI","ARM CIRCUMFERENCE (CM)",3492,1,"h3f02v2","blood_pressure"
30,"ARMCI",0.656176700547303,"I02ARMCI","ARM CIRCUMFERENCE (CM)",3357,1,"i1f02","blood_pressure"
2,"AVGDI",0.903616813294233,"B02AVGDI","AVERAGE DBP  (SUM_D/2)",4622,1,"b2f02","blood_pressure"
5,"AVGDI",0.848195121951219,"C02AVGDI","AVERAGE DBP  (SUM_D/2)",4347,1,"c1f02","blood_pressure"
